tick,agent,status,delta,zone,action,queue,session_tokens,session_cost_usd,session_calls,session_deferred,last_tokens,last_cost_usd,last_latency_ms,window_saturation,context_used,context_budget,ablation_off,lambda_rate,temperature
1,Router,active,0.3093,nominal,idle,0,0,0.0,0,0,,,,0.0,0,8000,False,0.005,0.8
2,Router,active,0.3383,nominal,idle,1,0,0.0,0,0,,,,0.027,219,8000,False,0.005,0.8
3,Router,active,0.3468,nominal,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.027,219,8000,False,0.005,0.8
4,Router,active,0.3539,nominal,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.027,219,8000,False,0.005,0.8
5,Router,active,0.3607,nominal,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.027,219,8000,False,0.005,0.8
6,Router,active,0.3672,nominal,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.027,219,8000,False,0.005,0.8
7,Router,active,0.3735,nominal,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.027,219,8000,False,0.005,0.8
8,Router,active,0.4021,nominal,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.055,439,8000,False,0.005,0.8
9,Router,active,0.4067,nominal,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.055,439,8000,False,0.005,0.8
10,Router,active,0.4111,nominal,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.055,439,8000,False,0.005,0.8
11,Router,active,0.4153,nominal,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.055,439,8000,False,0.005,0.8
12,Router,active,0.4194,nominal,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.055,439,8000,False,0.005,0.8
13,Router,active,0.4233,nominal,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.055,439,8000,False,0.005,0.8
14,Router,active,0.4571,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.082,657,8000,False,0.005,0.8
15,Router,active,0.4592,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.082,657,8000,False,0.005,0.8
16,Router,active,0.4612,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.082,657,8000,False,0.005,0.8
17,Router,active,0.4631,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.082,657,8000,False,0.005,0.8
18,Router,active,0.465,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.082,657,8000,False,0.005,0.8
19,Router,active,0.4668,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.082,657,8000,False,0.005,0.8
20,Router,active,0.4686,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.082,657,8000,False,0.005,0.8
21,Router,active,0.4703,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.082,657,8000,False,0.005,0.8
22,Router,active,0.4719,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.082,657,8000,False,0.005,0.8
23,Router,active,0.4735,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.082,657,8000,False,0.005,0.8
24,Router,active,0.475,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.082,657,8000,False,0.005,0.8
25,Router,active,0.5122,loaded,idle,1,0,0.0,0,0,0.0,0.0,0.0,0.11,877,8000,False,0.005,0.8
26,Router,active,0.5459,loaded,idle,1,0,0.0,0,0,0.0,0.0,0.0,0.137,1095,8000,False,0.005,0.8
27,Router,active,0.5438,loaded,idle,1,0,0.0,0,0,0.0,0.0,0.0,0.137,1095,8000,False,0.005,0.8
28,Router,active,0.5429,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.137,1095,8000,False,0.005,0.8
29,Router,active,0.541,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.137,1095,8000,False,0.005,0.8
30,Router,active,0.5393,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.137,1095,8000,False,0.005,0.8
31,Router,active,0.5376,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.137,1095,8000,False,0.005,0.8
32,Router,active,0.5653,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.137,1093,8000,False,0.005,0.8
33,Router,active,0.5624,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.137,1093,8000,False,0.005,0.8
34,Router,active,0.5977,loaded,idle,1,0,0.0,0,0,0.0,0.0,0.0,0.164,1310,8000,False,0.005,0.8
35,Router,active,0.5941,loaded,idle,1,0,0.0,0,0,0.0,0.0,0.0,0.164,1310,8000,False,0.005,0.8
36,Router,active,0.6284,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.191,1525,8000,False,0.005,0.8
37,Router,active,0.6224,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.191,1525,8000,False,0.005,0.8
38,Router,active,0.6553,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.191,1526,8000,False,0.005,0.8
39,Router,active,0.6479,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.191,1526,8000,False,0.005,0.8
40,Router,active,0.6409,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.191,1526,8000,False,0.005,0.8
41,Router,active,0.6343,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.191,1526,8000,False,0.005,0.8
42,Router,active,0.628,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.191,1526,8000,False,0.005,0.8
43,Router,active,0.6532,loaded,idle,0,0,0.0,0,0,0.0,0.0,0.0,0.218,1742,8000,False,0.005,0.8
44,Router,active,0.6789,critical,idle,2,0,0.0,0,0,0.0,0.0,0.0,0.217,1738,8000,False,0.005,0.8
45,Router,active,0.7073,critical,idle,2,0,0.0,0,0,0.0,0.0,0.0,0.244,1952,8000,False,0.005,0.8
